服务区,架次序号,机型,货箱编号,重算总质量_kg,重算总体积_m3,重算往返能耗_kWh,重算累计作业时间_s,重算返航SOC,复核结果
S001,1,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.0,0.159,2.92627284583651,1561.4267416985467,0.6342158942704362,通过
S001,2,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,78.0,0.23500000000000001,3.004697890001106,1627.4267416985467,0.6244127637498618,通过
S002,1,C,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-FOD-01,39.0,0.094,5.188860458012772,1983.0830106157416,0.35139244274840353,通过
S002,2,B,S002-WAT-03;S002-FOD-02,22.0,0.055,2.5985020884426744,1763.210317744648,0.3503744778893314,通过
S002,3,B,S002-WAT-04;S002-HYG-01,20.0,0.062,2.5291517621484285,1763.210317744648,0.36771205946289287,通过
S003,1,C,S003-MED-01;S003-WAT-01;S003-FOD-01;S003-FOD-02,33.0,0.095,5.068242623243071,2303.8108581124256,0.3664696720946161,通过
S003,2,B,S003-WAT-02,14.0,0.027,2.423470171610669,1960.2428120512277,0.3941324570973328,通过
S003,3,C,S003-WAT-03;S003-WAT-04;S003-HYG-01,34.0,0.089,5.089896137727216,2237.8108581124256,0.363762982784098,通过
S004,1,C,S004-MED-01;S004-WAT-01;S004-HYG-01,23.0,0.07400000000000001,5.122375893675925,2107.185491467791,0.35970301329050935,通过
S004,2,B,S004-WAT-02,14.0,0.027,2.510845509141273,1865.772436047869,0.37228862271468177,通过
S004,3,C,S004-WAT-03;S004-FOD-01,22.0,0.055,5.106264819362053,2041.185491467791,0.36171689757974335,通过
S005,1,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59.0,0.156,4.23878004069446,1880.0456170960524,0.47015249491319255,通过
S006,1,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59.0,0.156,2.595723096522244,1565.0356687212288,0.6755346129347195,通过
S007,1,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45.0,0.129,3.403353852298534,1889.2252411346558,0.5745807684626832,通过
S008,1,B,S008-MED-01;S008-HYG-01,9.0,0.047,2.4957116669013955,1898.042764989089,0.37607208327465114,通过
S008,2,B,S008-WAT-01,14.0,0.027,2.5958153231239676,1838.042764989089,0.3510461692190081,通过
S008,3,B,S008-WAT-02,14.0,0.027,2.5958153231239676,1838.042764989089,0.3510461692190081,通过
S008,4,B,S008-FOD-01,8.0,0.028,2.4796993770668663,1838.042764989089,0.38007515573328343,通过
S009,1,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,2.102455644233721,1560.77979054711,0.47438608894156975,通过
S010,1,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,1.8210472847963826,1554.5722391614418,0.5447381788009044,通过
S011,1,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,1.0771726352063646,1189.6308045644855,0.7307068411984088,通过
S012,1,C,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,4.935758920777177,2066.472594092873,0.38303013490285287,通过
S013,1,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,1.8207972710010332,1500.9702855348519,0.5448006822497418,通过
S014,1,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,2.1276841051324684,1844.5398866711284,0.4680789737168829,通过
S015,1,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,2.3109055629671014,1829.5741010160095,0.42227360925822466,通过
