电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T008,0.0,2011.052935022607,0.34878237926219746,1346.5829069591434,3357.6358419817507
A-BAT-02,A,T010,0.0,1951.052935022607,0.3596054609594903,1332.5129007526625,3283.5658357752695
A-BAT-03,A,T011,0.0,1951.052935022607,0.3596054609594903,1332.5129007526625,3283.5658357752695
A-BAT-04,A,T012,0.0,1951.052935022607,0.3596054609594903,1332.5129007526625,3283.5658357752695
A-BAT-05,A,T016,1951.052935022607,4213.3315994193235,0.33751615604404317,1361.228997142744,5574.560596562067
A-BAT-06,A,T019,1951.052935022607,3902.105870045214,0.37656693298514043,1310.4629871193174,5212.568857164531
B-BAT-01,B,T004,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-01,B,T018,3444.996092111448,5208.206409856096,0.40752849673956404,1693.617272318089,6901.823682174185
B-BAT-02,B,T005,0.0,1500.9702855348519,0.5448006822497418,1455.6788174337808,2956.6491029686326
B-BAT-02,B,T015,3399.11212583257,5228.686226848579,0.42227360925822466,1668.059077285744,6896.745304134323
B-BAT-03,B,T006,1500.9702855348519,3444.996092111448,0.30916820250436894,1864.1084489924274,5309.104541103876
B-BAT-04,B,T007,1554.5722391614418,3399.11212583257,0.4680789737168829,1588.6631122240697,4987.77523805664
B-BAT-04,B,T021,5208.206409856096,6768.986200403206,0.47438608894156975,1577.7307791679457,8346.71697957115
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T014,3450.651982833202,6090.378002289608,0.20230679426689147,2561.6686124217354,8652.046614711344
C-BAT-02,C,T002,0.0,1565.0356687212288,0.6755346129347195,1536.3416719747743,3101.377340696003
C-BAT-02,C,T013,3192.4624104197756,5497.647901887567,0.22788512126357996,2506.2489039289103,8003.896805816477
C-BAT-03,C,T003,1561.4267416985467,3450.651982833202,0.5745807684626832,1755.0750016641864,5205.726984497389
C-BAT-03,C,T020,6090.378002289608,8334.029392485472,0.4394450173139124,2047.86912915319,10381.898521638663
C-BAT-04,C,T009,1565.0356687212288,3192.4624104197756,0.6244127637498618,1647.1056785419662,4839.5680889617415
C-BAT-04,C,T017,5497.647901887567,7933.458759999992,0.23152778058349532,2498.356475402427,10431.815235402419
