架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1560.169061638226,2.9175821991564397
T002,U08,C,C-BAT-02,0.0,S006,1561.5538503101416,2.597987762362441
T003,U07,C,C-BAT-03,1560.169061638226,S007,3467.735467938277,3.4108941098668497
T004,U05,B,B-BAT-01,0.0,S010,1555.3795060205198,1.8231955389249852
T005,U06,B,B-BAT-02,0.0,S013,1510.472262686102,1.8247591062299287
T006,U06,B,B-BAT-03,1510.472262686102,S012,3433.212391956045,2.7524137094266754
T007,U05,B,B-BAT-04,1555.3795060205198,S014,3425.1358355299053,2.1403882509279963
T008,U01,A,A-BAT-01,0.0,S002,2003.7377015398852,2.919960026734396
T009,U08,C,C-BAT-04,1561.5538503101416,S001,3187.7229119483673,2.995769151326999
T010,U02,A,A-BAT-02,0.0,S002,1943.7377015398852,2.871432156389842
T011,U03,A,A-BAT-03,0.0,S002,1943.7377015398852,2.871432156389842
T012,U04,A,A-BAT-04,0.0,S002,1943.7377015398852,2.871432156389842
T013,U08,C,C-BAT-02,3187.7229119483673,S004,5488.779351030807,6.152930546729256
T014,U07,C,C-BAT-01,3467.735467938277,S008,5667.436390142248,5.836010171645798
T015,U05,B,B-BAT-02,3425.1358355299053,S015,5253.412353760479,2.307452507085184
T016,U02,A,A-BAT-05,1943.7377015398852,S003,4206.366718237841,2.9819818536935476
T017,U08,C,C-BAT-04,5488.779351030807,S003,7924.8704909842245,6.149476772902096
T018,U07,C,C-BAT-03,5667.436390142248,S002,7577.248550641733,4.83950027253728
T019,U07,C,C-BAT-02,7988.531374103315,S011->S009,10201.43367071636,4.531661774282417
T020,U08,C,C-BAT-01,8081.355811629652,S005,9958.546254883959,4.222192387345577
