服务区,架次序号,机型,货箱编号,物资类型,箱数,总质量_kg,总体积_m3,往返能耗_kWh,作业时间_s,返航SOC,相对允许能耗上限余量_kWh
S001,1,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,饮用水;饮用水;饮用水;应急食品;应急食品;应急食品;生活卫生用品;生活卫生用品,8,78.0,0.235,3.004697890001106,1627.4267416985467,0.6244127637498618,3.795302109998894
S001,2,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,医疗物资;医疗物资;饮用水;饮用水;饮用水;饮用水;饮用水,7,76.0,0.15900000000000003,2.92627284583651,1561.4267416985467,0.6342158942704362,3.8737271541634897
S002,1,B,S002-MED-01;S002-WAT-01;S002-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.7232546512628675,1823.210317744648,0.31918633718428313,0.6767453487371324
S002,2,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,饮用水;饮用水;饮用水;应急食品;生活卫生用品,5,56.0,0.144,5.741048783971433,2049.083010615742,0.2823689020035709,1.058951216028567
S003,1,B,S003-MED-01;S003-WAT-01;S003-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.779171039452936,2080.2428120512277,0.30520724013676603,0.620828960547064
S003,2,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,饮用水;饮用水;饮用水;应急食品;生活卫生用品,5,56.0,0.144,5.763372389063068,2369.8108581124256,0.27957845136711645,1.0366276109369315
S004,1,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,6.17691902989136,2305.185491467791,0.22788512126357996,0.6230809701086395
S005,1,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,4.23878004069446,1880.0456170960524,0.47015249491319255,2.5612199593055403
S006,1,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,2.595723096522244,1565.0356687212288,0.6755346129347195,4.204276903477756
S007,1,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,医疗物资;饮用水;饮用水;应急食品;生活卫生用品,5,45.0,0.129,3.403353852298534,1889.2252411346558,0.5745807684626832,3.396646147701466
S008,1,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,医疗物资;饮用水;饮用水;应急食品;生活卫生用品,5,45.0,0.129,5.853754904193419,2194.12905445849,0.2682806369758226,0.9462450958065807
S009,1,B,S009-MED-01;S009-WAT-01;S009-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.102455644233721,1560.77979054711,0.47438608894156975,1.297544355766279
S010,1,B,S010-MED-01;S010-WAT-01;S010-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.8210472847963826,1554.5722391614418,0.5447381788009044,1.5789527152036174
S011,1,B,S011-MED-01;S011-WAT-01;S011-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.0771726352063646,1189.6308045644855,0.7307068411984088,2.3228273647936355
S012,1,B,S012-MED-01;S012-WAT-01;S012-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.7633271899825242,1944.0258065765963,0.30916820250436894,0.6366728100174757
S013,1,B,S013-MED-01;S013-WAT-01;S013-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.8207972710010332,1500.9702855348519,0.5448006822497418,1.5792027289989667
S014,1,B,S014-MED-01;S014-WAT-01;S014-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.1276841051324684,1844.5398866711284,0.4680789737168829,1.2723158948675315
S015,1,B,S015-MED-01;S015-WAT-01;S015-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.3109055629671014,1829.5741010160095,0.42227360925822466,1.0890944370328985
